+ACI-Feature+ACI-	+ACI-Value+ACI-
+ACI-url.memberbanners+ACI-	4.0564391471
+ACI-url.ads+ACI-	3.429053229
+ACI-ancurl.click+ACI-	2.954060854
+ACI-origurl.jun+ACI-	2.8861267085
+ACI-url.ad+ACI-	2.5891762871
+ACI-ancurl.nph+ACI-	2.4850584076
+ACI-alt.visit.our+ACI-	2.1857817811
+ACI-ancurl.marketing+ACI-	2.1030463846
+ACI-ancurl.n.a+ACI-	1.8157241003
+ACI-url.images.home+ACI-	1.4502885852
+ACI-ancurl.com+ACI-	1.3784099633
+ACI-ancurl.http.www+ACI-	1.2486476263
+ACI-ancurl.cid+ACI-	1.143115525
+ACI-ancurl.co+ACI-	1.116966783
+ACI-origurl.www.thriveonline.com+ACI-	1.039902092
+ACI-url.doubleclick.net+ACI-	1.0065984939
+ACI-ancurl.adclick+ACI-	1.004759579
+ACI-alt.banner+ACI-	0.9037253088
+ACI-ancurl.site+ACI-	0.8985423611
+ACI-alt.click+ACI-	0.874199973
+ACI-origurl.netcenter+ACI-	0.7921450053
+ACI-alt.for+ACI-	0.7713431896
+ACI-ancurl.exe+ACI-	0.7671872829
+ACI-url.banner.gif+ACI-	0.743930253
+ACI-ancurl.redirect+ACI-	0.5621114461
+ACI-ancurl.url+ACI-	0.517186229
+ACI-ancurl.click.ng+ACI-	0.4970868109
+ACI-url.image+ACI-	0.4151724259
+ACI-url.bin+ACI-	0.4069631325
+ACI-url.ads.media+ACI-	0.3967582629
+ACI-url.times+ACI-	0.2563615318
+ACI-url.keith.dumble+ACI-	0.1530954946
+ACI-ancurl.keith.dumble+ACI-	0.1448055029
+ACI-origurl.zdnet.com+ACI-	0.1150124625
+ACI-url.live+ACI-	0.10579686
+ACI-url.uk+ACI-	0.0596873542
+ACI-url.times.graphics+ACI-	0.0578719388
+ACI-url.ad.doubleclick.net+ACI-	0.0354935706
+ACI-ancurl.irish.times.com+ACI-	0.0165670425
+ACI-url.dumble+ACI-	0.0159733714
+ACI-url.memberbanners.live+ACI-	0.0104150705
+ACI-origurl.thriveonline.com+ACI-	0.0078962668
+ACI-url.members+ACI-	0.0074682222
+ACI-origurl.irish.times.com+ACI-	0.0055681852
+ACI-url.irish.times+ACI-	0.0041829806
+ACI-ancurl.dumble+ACI-	0.0041524471
+ACI-ancurl.keith+ACI-	0.0040634654
+ACI-ancurl.web.ukonline.co.uk+ACI-	0.0030606894
+ACI-url.keith+ACI-	0.0024826258
+ACI-url.irish.times.com+ACI-	0.0024442076
+ACI-origurl.web.ukonline.co.uk+ACI-	0.0022010502
+ACI-origurl.ukonline.co.uk+ACI-	0.0017216029
+ACI-origurl.dumble+ACI-	0.0016103283
+ACI-origurl.dumble.contents+ACI-	0.0012420727
+ACI-origurl.members.keith+ACI-	0.0011841785
+ACI-origurl.www.irish.times.com+ACI-	0.0007404042
