"PC","Proportion of Variance","Cumulative Proportion"
"1",0.08742,0.08742
"2",0.04346,0.13089
"3",0.03312,0.16401
"4",0.02862,0.19263
"5",0.0227,0.21533
"6",0.01997,0.2353
"7",0.01944,0.25474
"8",0.01646,0.27121
"9",0.01466,0.28587
"10",0.01446,0.30032
"11",0.01434,0.31466
"12",0.0136,0.32826
"13",0.01255,0.34081
"14",0.01213,0.35294
"15",0.012,0.36494
"16",0.01112,0.37606
"17",0.0108,0.38686
"18",0.01015,0.39701
"19",0.00986,0.40687
"20",0.00958,0.41645
"21",0.00954,0.42599
"22",0.00895,0.43494
"23",0.00863,0.44357
"24",0.0085,0.45207
"25",0.00835,0.46042
"26",0.00811,0.46853
"27",0.00801,0.47654
"28",0.00798,0.48452
"29",0.00786,0.49237
"30",0.00773,0.50011
"31",0.00741,0.50751
"32",0.00727,0.51479
"33",0.00707,0.52186
"34",0.00688,0.52874
"35",0.00674,0.53548
"36",0.00668,0.54216
"37",0.00658,0.54874
"38",0.00617,0.5549
"39",0.00606,0.56096
"40",0.00548,0.56645
"41",0.00534,0.57179
"42",0.00523,0.57702
"43",0.00496,0.58198
"44",0.00488,0.58686
"45",0.00485,0.59171
"46",0.00473,0.59644
"47",0.00458,0.60103
"48",0.00451,0.60554
"49",0.00447,0.61001
"50",0.00433,0.61434
"51",0.00431,0.61865
"52",0.00425,0.6229
"53",0.00421,0.62711
"54",0.00419,0.6313
"55",0.00405,0.63535
"56",0.00397,0.63932
"57",0.00392,0.64324
"58",0.00391,0.64715
"59",0.00384,0.65099
"60",0.00378,0.65477
"61",0.00374,0.65851
"62",0.00369,0.6622
"63",0.00363,0.66583
"64",0.00359,0.66942
"65",0.00355,0.67298
"66",0.00353,0.6765
"67",0.00348,0.67999
"68",0.00341,0.68339
"69",0.00336,0.68676
"70",0.00331,0.69007
"71",0.00327,0.69334
"72",0.00325,0.69659
"73",0.00324,0.69983
"74",0.0032,0.70303
"75",0.00312,0.70616
"76",0.00305,0.70921
"77",0.00304,0.71225
"78",0.00298,0.71523
"79",0.00298,0.71821
"80",0.00297,0.72118
"81",0.00295,0.72413
"82",0.00293,0.72706
"83",0.00293,0.72999
"84",0.0029,0.73288
"85",0.00288,0.73576
"86",0.00282,0.73858
"87",0.0028,0.74138
"88",0.00276,0.74414
"89",0.00275,0.74689
"90",0.00267,0.74956
"91",0.00267,0.75223
"92",0.00264,0.75488
"93",0.00261,0.75749
"94",0.00258,0.76007
"95",0.00256,0.76263
"96",0.00254,0.76516
"97",0.00251,0.76768
"98",0.00249,0.77017
"99",0.00246,0.77262
"100",0.00243,0.77506
"101",0.00239,0.77745
"102",0.00237,0.77982
"103",0.00234,0.78216
"104",0.00232,0.78448
"105",0.00231,0.78679
"106",0.00227,0.78906
"107",0.00226,0.79132
"108",0.00223,0.79354
"109",0.00218,0.79572
"110",0.00216,0.79788
"111",0.00214,0.80002
"112",0.00209,0.80212
"113",0.00207,0.80419
"114",0.00204,0.80623
"115",0.00201,0.80824
"116",0.00198,0.81022
"117",0.00195,0.81217
"118",0.00195,0.81412
"119",0.00191,0.81603
"120",0.0019,0.81793
"121",0.00186,0.8198
"122",0.00185,0.82164
"123",0.00183,0.82347
"124",0.00181,0.82528
"125",0.0018,0.82708
"126",0.00178,0.82886
"127",0.00176,0.83062
"128",0.00175,0.83237
"129",0.00172,0.8341
"130",0.00171,0.8358
"131",0.00169,0.8375
"132",0.00168,0.83918
"133",0.00166,0.84084
"134",0.00165,0.84249
"135",0.00164,0.84413
"136",0.00162,0.84575
"137",0.00159,0.84734
"138",0.00158,0.84892
"139",0.00154,0.85046
"140",0.00153,0.85199
"141",0.0015,0.85349
"142",0.00149,0.85498
"143",0.00145,0.85643
"144",0.00145,0.85787
"145",0.00142,0.85929
"146",0.00141,0.8607
"147",0.00139,0.86209
"148",0.00138,0.86347
"149",0.00137,0.86483
"150",0.00134,0.86617
"151",0.00133,0.8675
"152",0.00132,0.86881
"153",0.00131,0.87012
"154",0.00127,0.87139
"155",0.00126,0.87265
"156",0.00124,0.87389
"157",0.00124,0.87513
"158",0.00123,0.87636
"159",0.0012,0.87756
"160",0.00119,0.87875
"161",0.00118,0.87994
"162",0.00116,0.8811
"163",0.00114,0.88224
"164",0.00113,0.88337
"165",0.00112,0.88449
"166",0.0011,0.8856
"167",0.00108,0.88668
"168",0.00108,0.88776
"169",0.00106,0.88882
"170",0.00106,0.88988
"171",0.00105,0.89093
"172",0.00104,0.89197
"173",0.00102,0.89299
"174",0.00102,0.89401
"175",0.00101,0.89502
"176",0.001,0.89601
"177",0.00098,0.897
"178",0.00098,0.89798
"179",0.00096,0.89894
"180",0.00096,0.89989
"181",0.00094,0.90084
"182",0.00094,0.90177
"183",0.00091,0.90268
